,0,1,2
303,hxli,hxlilr,201
304,hxlil,hxliur,37
305,hxlil,ISL1,138
306,hxlil,hxlill,235
307,hxlil,TUBB3 (TuJ1),136
308,hxlil,hxliul,40
309,hxlil,pavyn,16
310,hxlil,hxliu,53
311,hxlil,Nestin,118
312,hxlil,NKX6.1,136
313,hxlil,NEFH (SMI32),138
314,hxlil,hxliuarm,34
315,hxlil,hxlilft,205
316,hxlil,hxliuhnd,36
317,hxlil,s100b,133
318,hxlil,hxlilleg,144
319,hxlil,trachrsn,9
320,hxlil,hxlilr,201
321,hxlilft,hxliur,17
322,hxlilft,ISL1,83
323,hxlilft,hxlill,128
324,hxlilft,TUBB3 (TuJ1),82
325,hxlilft,hxliul,23
326,hxlilft,pavyn,12
327,hxlilft,hxliu,28
328,hxlilft,Nestin,71
329,hxlilft,NKX6.1,82
330,hxlilft,NEFH (SMI32),83
331,hxlilft,hxliuarm,19
332,hxlilft,hxliuhnd,25
333,hxlilft,s100b,78
334,hxlilft,hxlilleg,33
335,hxlilft,trachrsn,8
336,hxlilft,hxlilr,106
337,hxlill,hxliur,28
338,hxlill,ISL1,87
339,hxlill,TUBB3 (TuJ1),84
340,hxlill,hxliul,39
341,hxlill,pavyn,11
342,hxlill,hxliu,40
343,hxlill,Nestin,72
344,hxlill,NKX6.1,84
345,hxlill,NEFH (SMI32),87
346,hxlill,hxliuarm,28
347,hxlill,hxliuhnd,28
348,hxlill,s100b,83
349,hxlill,hxlilleg,99
350,hxlill,trachrsn,5
351,hxlill,hxlilr,89
352,hxlilleg,hxliur,32
353,hxlilleg,NKX6.1,53
354,hxlilleg,ISL1,57
355,hxlilleg,NEFH (SMI32),57
356,hxlilleg,hxliuarm,29
357,hxlilleg,TUBB3 (TuJ1),53
358,hxlilleg,hxliuhnd,25
359,hxlilleg,hxliul,31
360,hxlilleg,hxlilr,100
361,hxlilleg,s100b,53
362,hxlilleg,pavyn,1
363,hxlilleg,trachrsn,1
364,hxlilleg,hxliu,38
365,hxlilleg,Nestin,47
366,hxlilr,hxliur,34
367,hxlilr,ISL1,75
368,hxlilr,TUBB3 (TuJ1),71
369,hxlilr,hxliul,30
370,hxlilr,pavyn,5
371,hxlilr,hxliu,38
372,hxlilr,Nestin,63
373,hxlilr,NKX6.1,71
374,hxlilr,NEFH (SMI32),75
375,hxlilr,hxliuarm,27
376,hxlilr,hxliuhnd,29
377,hxlilr,s100b,69
378,hxlilr,trachrsn,4
379,hxliu,hxliur,207
380,hxliu,ISL1,154
381,hxliu,TUBB3 (TuJ1),148
382,hxliu,hxliul,205
383,hxliu,pavyn,16
384,hxliu,Nestin,131
385,hxliu,NKX6.1,148
386,hxliu,NEFH (SMI32),154
387,hxliu,hxliuarm,130
388,hxliu,hxliuhnd,237
389,hxliu,s100b,147
390,hxliu,trachrsn,10
391,hxliuarm,hxliur,81
392,hxliuarm,ISL1,64
393,hxliuarm,TUBB3 (TuJ1),59
394,hxliuarm,hxliul,90
395,hxliuarm,pavyn,5
396,hxliuarm,Nestin,57
397,hxliuarm,NKX6.1,59
398,hxliuarm,NEFH (SMI32),64
399,hxliuarm,hxliuhnd,39
400,hxliuarm,s100b,61
401,hxliuarm,trachrsn,3
402,hxliuhnd,hxliur,147
403,hxliuhnd,NKX6.1,99
404,hxliuhnd,ISL1,105
405,hxliuhnd,NEFH (SMI32),105
406,hxliuhnd,TUBB3 (TuJ1),99
407,hxliuhnd,hxliul,128
408,hxliuhnd,s100b,98
409,hxliuhnd,pavyn,9
410,hxliuhnd,trachrsn,7
411,hxliuhnd,Nestin,88
412,hxliul,hxliur,70
413,hxliul,NKX6.1,82
414,hxliul,ISL1,87
415,hxliul,NEFH (SMI32),87
416,hxliul,TUBB3 (TuJ1),82
417,hxliul,s100b,82
418,hxliul,pavyn,9
419,hxliul,trachrsn,5
420,hxliul,Nestin,73
421,hxliur,ISL1,92
422,hxliur,TUBB3 (TuJ1),87
423,hxliur,pavyn,10
424,hxliur,Nestin,76
425,hxliur,NKX6.1,87
426,hxliur,NEFH (SMI32),92
427,hxliur,s100b,86
428,hxliur,trachrsn,6
429,NEFH (SMI32),ISL1,421
430,NEFH (SMI32),TUBB3 (TuJ1),412
431,NEFH (SMI32),pavyn,19
432,NEFH (SMI32),Nestin,354
433,NEFH (SMI32),NKX6.1,412
434,NEFH (SMI32),s100b,406
435,NEFH (SMI32),trachrsn,15
